Name, Address, City, State, Zipcode, Phone, Indoor?
Bright Hope Baptist Church, 12th St and Cecil B. Moore Ave,	Philadelphia, PA, 19122, 215-232-6004, Indoor
Church of The Advocate,	2121 N. Gratz St, Philadelphia, PA, 9121, 215-978-8000 ext 111, Indoor		
First African Presbyterian Church, 4159 W Girard Ave, Philadelphia, PA, 19104, 215-477-3100, Indoor						
Genesis Ministries, 2229 N. Cleveland St, Philadelphia, PA, 19132, 215-232-2501, Indoor								
Harambee Baptist Church, 5648 Chew Ave,	Philadelphia, PA, 19138, 215-849-8693 ext 6, Indoor			
Holsey Temple, 5305-15 Germantown Ave, Philadelphia, PA, 19144, 215-848-2210, Indoor
Face to Face Germantown, 109 E. Price St, Philadelphia,	PA,	19114, 215-849-0179, Indoor			
Korean Philadelphia Church,	1200 W. Chelthenham Ave, Philadelphia, PA, 19126, 215-927-0630, Outdoors																												
Philly Restart, 19th St and Vine St, Philadelphia, PA, 19103, none, Outdoors																
St Frances Inn, 2441 Kensington Ave, Philadelphia, PA, 19125, 215-423-5845, Indoor
Poplar St AME Zion Church, 5802 Musgrave St, Philadelphia, PA, 19138, 215-224-5122, Indoor							
									
